appid;release_date;english;developer;publisher;required_age;categories;genres;steamspy_tags;achievements;gusta o no gusta;median_playtime;owners;price
355180;2017-10-31;0.13150664608837087;Hoobalugalar_X;Hoobalugalar_X;-0.13094760419024004;"Single-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Workshop;Partial Controller Support;Includes level editor";"Action;Free to Play";"Free to Play;Zombies;Multiplayer";-0.005524569642958071;1;-0.0350936412199536;4.6462913293934145;-0.68556815
33650;2010-05-28;0.13150664608837087;Ideas Pad;Puzzler;-0.13094760419024004;"Single-player;Steam Achievements;Steam Leaderboards";Casual;"Casual;Puzzle;Singleplayer";-0.08831350953743064;1;-0.22595143720744532;0.9499577340128144;-0.117988415
315610;2014-07-31;0.13150664608837087;Mouldy Toof Studios;Clickteam;-0.13094760419024004;Single-player;"Action;Adventure;Indie";"Adventure;Indie;Action";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.049742308
33790;2011-06-09;0.13150664608837087;Gunnar Games, Inc.;ValuSoft;-0.13094760419024004;Single-player;Casual;"Casual;Hidden Object";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;1.019446
537050;2016-10-06;0.13150664608837087;Theodore Palser;Theodore Palser;-0.13094760419024004;Single-player;"Action;Adventure;Casual;Indie;Strategy";"Casual;Adventure;Strategy";-0.13289216948060817;1;-0.22595143720744532;-0.5285757041394258;-0.5047161
291030;2014-04-18;0.13150664608837087;Winter Wolves;Winter Wolves;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud";"Casual;Indie;Simulation";"Visual Novel;Anime;Dating Sim";-0.10741864951307815;1;-0.22595143720744532;-0.5285757041394258;0.86020523
922450;2018-12-20;0.13150664608837087;Mercator;Mercator;-0.13094760419024004;"Online Multi-Player;Steam Achievements;In-App Purchases";"Adventure;Free to Play;Indie;Massively Multiplayer;RPG;Strategy";"Free to Play;Massively Multiplayer;Strategy";-0.12015540949684315;1;-0.22595143720744532;0.9499577340128144;-0.68556815
249330;2013-10-04;0.13150664608837087;Petit Depotto;AGM PLAYISM;-0.13094760419024004;"Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards";"Indie;Simulation;Strategy";"Strategy;Tower Defense;Indie";-0.06920836956178313;1;0.005228428354868593;1.6892244530889344;-0.36822397
503350;2017-04-07;0.13150664608837087;Milkstone Studios;Milkstone Studios;-0.13094760419024004;"Single-player;Multi-player;Online Multi-Player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud";"Action;Adventure;Indie;Strategy";"Horror;Multiplayer;Survival Horror";0.03905409030021946;1;-0.22595143720744532;1.6892244530889344;0.10949847
391040;2016-08-18;0.13150664608837087;"Codemasters;Feral Interactive (Mac)";"Codemasters;Feral Interactive (Mac)";-0.13094760419024004;"Single-player;Multi-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Workshop;Steam Cloud;Steam Leaderboards";"Racing;Simulation;Sports";"Racing;Simulation;Sports";0.0231331403205132;1;4.550869738423157;2.4284911721650544;3.8630323
